DMV1,DMV2,DMV3,VIN
123,45,6789,ROLL
000,00,0007,ROLL
000,00,0007,ROLL
000,00,0027,VKB 
000,00,0032,BALD
000,00,0051,CHEV
000,00,0063,BANK
000,00,0076,PARK
000,00,0078,V & 
000,00,0112,E&D 
000,00,0122,CONS
000,00,0122,CONS
000,00,0134,BECK
000,00,0146,EFD 
000,00,0146,EFD 
000,00,0169,GHAF
000,00,0178,FAIR
000,00,0179,CHAI
000,00,0189,BLAK
000,00,0195,WILL
000,00,0195,WILL
000,00,0204,QUIL
000,00,0205,KERS
000,00,0208,COMB
000,00,0208,COMB
000,00,0213,GELC
000,00,0219,ITPG
000,00,0221,ROTH
000,00,0234,BEST
000,00,0234,BEST
000,00,0246,NEW 
000,00,0264,ORAN
000,00,0277,EDLI
000,00,0289,SCHN
000,00,0294,E M 
000,00,0328,WILL
000,00,0353,NATI
000,00,0359,QUES
000,00,0359,QUES
000,00,0397,BALD
000,00,0414,COLU
000,00,0436,THE 
000,00,0443,BATT
000,00,0463,JOHN
000,00,0488,VIOL
000,00,0494,DKS 
000,00,0527,7-EL
000,00,0555,CRES
000,00,0560,PULC
000,00,0564,FINA
000,00,0568,YNC 
000,00,0570,J & 
000,00,0580,CAPI
000,00,0589,PEDI
000,00,0611,BROO
000,00,0629,JEFF
000,00,0629,JEFF
000,00,0652,HEAR
000,00,0687,JAME
000,00,0687,JAME
000,00,0705,ALLR
000,00,0758,TM G
000,00,0765,WILL
000,00,0765,WILL
000,00,0773,WOOD
000,00,0782,LOWE
000,00,0790,CHRI
000,00,0803,GLEN
000,00,0803,GLEN
000,00,0823,SALO
000,00,0837,7-EL
000,00,0862,7 EL
000,00,0866,7 EL
000,00,0869,REFL
000,00,0886,WASH
000,00,0899,MARC
000,00,0901,GUER
000,00,0903,CONS
000,00,0907,PDC 
000,00,0909,UNDE
000,00,0923,HAIR
000,00,0923,HAIR
000,00,0936,JOHN
000,00,0936,JOHN
000,00,0936,JOHN
000,00,0938,ECON
000,00,0944,BOBS
000,00,0970,LAFA
000,00,0970,LAFA
000,00,0987,JLS 
000,00,0987,JLS 
000,00,1001,PREM
000,00,1006,SPOT
000,00,1034,TWD 
000,00,1035,A&S 
000,00,1076,INTL
000,00,1081,GONZ
000,00,1085,PINE
000,00,1086,HSIA
000,00,1133,ALAS
000,00,1133,ALAS
000,00,1151,B & 
000,00,1151,B & 
000,00,1164,PARK
000,00,1169,COAK
000,00,1208,AMER
000,00,1215,STAR
000,00,1256,UNIO
000,00,1256,UNIO
000,00,1278,SCHU
000,00,1282,AMER
000,00,1282,AMER
000,00,1290,BARB
000,00,1301,S & 
000,00,1317,WILL
000,00,1331,TRIM
000,00,1333,NICH
000,00,1333,NICH
000,00,1346,BALD
000,00,1347,BALD
000,00,1366,M IN
000,00,1366,M IN
000,00,1389,TOYO
000,00,1392,FLOW
000,00,1392,FLOW
000,00,1394,TOTA
000,00,1397,VW C
000,00,1397,VW C
000,00,1397,VW C
000,00,1397,VW C
000,00,1433,NAFT
000,00,1433,NAFT
000,00,1438,LIST
000,00,1453,FIDE
000,00,1455,CCA 
000,00,1461,CONS
000,00,1461,CONS
000,00,1495,STRA
000,00,1549,BLOC
000,00,1577,C J 
000,00,1620,ORAN
000,00,1622,DEL 
000,00,1642,SUNR
000,00,1642,SUNR
000,00,1642,SUNR
000,00,1644,DAVI
000,00,1662,LAW 
000,00,1662,LAW 
000,00,1669,ARTH
000,00,1695,PEYT
000,00,1697,ENTE
000,00,1715,VIRG
000,00,1720,PEKI
000,00,1724,SYDE
000,00,1731,CVS/
000,00,1759,AIRT
000,00,1763,ISLA
000,00,1763,ISLA
000,00,1770,W S 
000,00,1770,W S 
000,00,1779,ACAD
000,00,1792,FRAM
000,00,1797,KROP
000,00,1801,HAIR
000,00,1804,CARD
000,00,1812,PATR
000,00,1850,BERN
000,00,1850,BERN
000,00,1873,SERV
000,00,1885,TRAD
000,00,1885,TRAD
000,00,1914,TOSO
000,00,1918,DR P
000,00,1918,DR P
000,00,1919,CARR
000,00,1927,SEAL
000,00,1927,SEAL
000,00,1933,K&G 
000,00,1966,HAIR
000,00,1968,CYNT
000,00,1971,MATT
000,00,2000,OLD 
000,00,2009,CAM 
000,00,2009,CAM 
000,00,2046,ENCO
000,00,2049,UNIW
000,00,2055,CLEA
000,00,2055,CLEA
000,00,2067,MAK 
000,00,2067,MAK 
000,00,2090,DAVI
000,00,2095,FAIR
000,00,2125,CHER
000,00,2125,CHER
000,00,2126,LUCK
000,00,2126,LUCK
000,00,2126,LUCK
000,00,2132,ASPL
000,00,2132,ASPL
000,00,2143,ANNI
000,00,2148,BALA
000,00,2155,SLOC
000,00,2180,AUTO
000,00,2189,VA R
000,00,2196,PRIM
000,00,2199,JOSE
000,00,2205,CONS
000,00,2205,CONS
000,00,2220,LAMM
000,00,2221,KARL
000,00,2243,JC P
000,00,2266,PREC
000,00,2286,FEDE
000,00,2286,FEDE
000,00,2287,AFFI
000,00,2287,AFFI
000,00,2291,SOFI
000,00,2302,BISH
000,00,2302,BISH
000,00,2310,SHEL
000,00,2326,CBS 
000,00,2326,CBS 
000,00,2329,TYSO
000,00,2362,MILL
000,00,2364,JACK
000,00,2369,SUSA
000,00,2382,ARGE
000,00,2388,MUSI
000,00,2388,MUSI
000,00,2398,ORBA
000,00,2424,HATC
000,00,2424,HATC
000,00,2430,SERV
000,00,2430,SERV
000,00,2473,CTMI
000,00,2473,CTMI
000,00,2501,J J 
000,00,2512,AD-C
000,00,2530,RAND
000,00,2535,CAST
000,00,2539,HEAL
000,00,2539,HEAL
000,00,2572,IBM 
000,00,2574,FIRS
000,00,2580,INTE
000,00,2580,INTE
000,00,2581,CHUC
000,00,2594,HILT
000,00,2622,REST
000,00,2622,REST
000,00,2636,CHEM
000,00,2652,WILS
000,00,2669,THE 
000,00,2669,THE 
000,00,2674,CROS
000,00,2705,DO D
000,00,2707,YUIL
000,00,2722,COGA
000,00,2744,PURP
000,00,2750,DULL
000,00,2750,DULL
000,00,2772,OPTF
000,00,2785,4 SE
000,00,2785,4 SE
000,00,2793,DITT
000,00,2798,BURK
000,00,2807,FAMI
000,00,2824,REST
000,00,2825,JAIP
000,00,2825,JAIP
000,00,2829,MOSA
000,00,2832,EXEC
000,00,2841,MATH
000,00,2864,C C 
000,00,2878,WILL
000,00,2884,ODIS
000,00,2896,CHAN
000,00,2915,HOLI
000,00,2922,CERV
000,00,2922,CERV
000,00,2922,CERV
000,00,2933,YONG
000,00,2969,CHEC
000,00,2988,SELE
000,00,2988,SELE
000,00,2988,SELE
000,00,2995,METR
000,00,3010,ROHR
000,00,3012,ALLI
000,00,3012,ALLI
000,00,3014,OFFI
000,00,3020,EDWA
000,00,3050,HINK
000,00,3063,DEMA
000,00,3067,NEW 
000,00,3067,NEW 
000,00,3070,DOLA
000,00,3070,DOLA
000,00,3113,ORCH
000,00,3123,TEAM
000,00,3123,TEAM
000,00,3124,CELE
000,00,3124,CELE
000,00,3130,DOMI
000,00,3135,GANT
000,00,3143,FEDE
000,00,3143,FEDE
000,00,3152,PAPA
000,00,3152,PAPA
000,00,3174,BELL
000,00,3178,ALTU
000,00,3188,GROU
000,00,3218,DESI
000,00,3218,DESI
000,00,3225,U S 
000,00,3232,DEWB
000,00,3248,FRAM
000,00,3248,FRAM
000,00,3249,POLA
000,00,3254,ALL 
000,00,3300,IMA 
000,00,3301,RBC 
000,00,3347,CARL
000,00,3349,JOHN
000,00,3365,CHAN
000,00,3381,CAMP
000,00,3414,JOSE
000,00,3417,ATLA
000,00,3422,ARIO
000,00,3428,CAPI
000,00,3432,NATI
000,00,3432,NATI
000,00,3440,CHRI
000,00,3442,MEA 
000,00,3456,F G 
000,00,3465,STEV
000,00,3467,HOLI
000,00,3467,HOLI
000,00,3477,LORT
000,00,3478,DONS
000,00,3483,KOLA
000,00,3493,FAIR
000,00,3493,FAIR
000,00,3511,DOWD
000,00,3511,DOWD
000,00,3551,J V 
000,00,3556,PAPA
000,00,3566,TYSO
000,00,3578,GENE
000,00,3580,CARD
000,00,3584,BOST
000,00,3593,COLO
000,00,3598,BELL
000,00,3598,BELL
000,00,3599,INTE
000,00,3599,INTE
000,00,3602,ISR 
000,00,3613,L&E 
000,00,3613,L&E 
000,00,3630,CACI
000,00,3639,CRAN
000,00,3651,CENT
000,00,3657,CORV
000,00,3673,GENE
000,00,3686,GIAN
000,00,3687,GIAN
000,00,3688,GIAN
000,00,3688,GIAN
000,00,3691,GIAN
000,00,3718,THOU
000,00,3744,EURO
000,00,3755,FILM
000,00,3755,FILM
000,00,3757,HAIR
000,00,3757,HAIR
000,00,3761,PAUL
000,00,3761,PAUL
000,00,3766,CATH
000,00,3767,HARR
000,00,3767,HARR
000,00,3772,YI'S
000,00,3778,CAPI
000,00,3778,CAPI
000,00,3782,DAVI
000,00,3788,ELEC
000,00,3812,DUPO
000,00,3828,RICE
000,00,3832,ACE 
000,00,3857,J BR
000,00,3857,J BR
000,00,3871,PRIM
000,00,3877,ANN'
000,00,3877,ANN'
000,00,3912,DERM
000,00,3912,DERM
000,00,3937,HOFF
000,00,3946,FAIR
000,00,3949,CHIL
000,00,3949,CHIL
000,00,3950,SPRI
000,00,3960,CLAR
000,00,3997,FAMI
000,00,3997,FAMI
000,00,3998,VOCE
000,00,4014,JEWE
000,00,4014,JEWE
000,00,4020,RENT
000,00,4033,DURR
000,00,4045,MONT
000,00,4054,LIBE
000,00,4065,ASSO
000,00,4065,ASSO
000,00,4071,BLOC
000,00,4072,H&R 
000,00,4082,STAP
000,00,4084,UNIC
000,00,4084,UNIC
000,00,4087,CROW
000,00,4090,OMEG
000,00,4090,OMEG
000,00,4091,HAIS
000,00,4091,HAIS
000,00,4103,EXPE
000,00,4103,EXPE
000,00,4126,TRIM
000,00,4138,LINK
000,00,4143,ZINN
