DMV1,DMV2,DMV3,VIN
A06,60,4972,1150
A16,49,9836,7688
A18,90,7106,0152
A18,90,7106,3568
A18,90,7106,7979
A18,91,3268,7757
A19,20,0014,7761
A19,20,0021,3814
A19,20,0024,8360
A19,20,0047,6840
A19,20,0072,9752
A19,20,0073,8867
A19,20,0084,5068
A19,20,0084,0846
A19,20,0089,3488
A19,20,0112,2184
A19,20,0118,1319
A19,20,0119,7208
A19,20,0121,3259
A19,20,0133,4189
A19,20,0137,9867
A19,20,0157,6269
A19,20,0157,6990
A19,20,0162,9589
A19,20,0171,5781
A19,20,0191,6503
A19,20,0191,7087
A19,20,0191,2352
A19,20,0211,4055
A19,20,0215,7585
A19,20,0215,2369
A19,20,0226,7767
A19,20,0228,7498
A19,20,0229,9680
A19,20,0235,6316
A19,20,0251,5032
A19,20,0255,6015
A19,20,0255,2329
A19,20,0259,2059
A19,20,0272,0705
A19,20,0272,7027
A19,20,0283,7543
A19,20,0283,4039
A19,20,0284,6573
A19,20,0292,5228
A19,20,0294,6654
A19,20,0295,7182
A19,20,0313,8120
A19,20,0313,6048
A19,20,0322,8388
A19,20,0334,7086
A19,20,0350,0976
A19,20,0350,0452
A19,20,0351,5778
A19,20,0365,5656
A19,20,0369,1898
A19,20,0385,1674
A19,20,0403,4591
A19,20,0403,8191
A19,20,0412,8207
A19,20,0437,3481
A19,20,0465,6456
A19,20,0478,5554
A19,20,0481,1077
A19,20,0494,2288
A19,20,0498,0609
A19,20,0498,8343
A19,20,0500,4595
A19,20,0508,3648
A19,20,0510,0076
A19,20,0519,1208
A19,20,0521,7468
A19,20,0521,7940
A19,20,0531,8145
A19,20,0531,2917
A19,20,0536,6258
A19,20,0551,1155
A19,20,0554,018A
A19,20,0556,6838
A19,20,0569,4488
A19,20,0584,4119
A19,70,0011,4727
A19,70,0087,9023
A19,70,0211,8142
A19,70,0211,8048
A19,70,0219,7767
A19,70,0241,6465
A19,70,0295,0995
A19,70,0356,5453
A19,70,0513,3731
A19,70,0697,4201
A19,70,0697,7819
A19,70,0702,6513
A19,70,0773,2960
A19,70,0773,9335
A19,70,0857,9150
A19,70,0857,9150
A19,70,0908,3187
A19,70,0935,8033
A19,70,0938,1446
A19,70,0995,2306
A19,70,1143,2491
A19,70,1203,3021
A19,70,1454,2483
A19,70,1595,9027
A19,70,1625,6907
A19,70,1774,6634
A19,70,2006,5823
A19,70,2037,8369
A19,70,2037,8196
A19,70,2054,8134
A19,70,2295,5797
A19,70,2348,0740
A19,70,2438,3632
A19,70,2438,2725
A19,70,2626,0787
A19,70,2728,7834
A19,70,2763,4078
A19,70,2855,8436
A19,70,2855,2757
A19,70,3042,3519
A19,70,3042,6520
A19,70,3056,3832
A19,70,3056,3035
A19,70,3295,7615
A19,70,3449,1040
A19,70,3493,8923
A19,70,3520,9395
A19,70,3539,4371
A19,70,3781,0676
A19,70,3961,8856
A19,70,3969,7643
A19,70,4120,6257
A19,70,4387,5773
A19,70,4456,8298
A19,70,4658,4417
A19,70,4840,6953
A19,70,5068,5269
A19,70,5128,1167
A19,70,5128,8487
A19,70,5128,1973
A19,70,5148,6873
A19,70,5243,2274
A19,70,5243,0184
A19,70,5409,2268
A19,70,5458,2593
A19,70,5484,8166
A19,70,5717,1679
A19,70,5744,2412
A19,70,5744,6498
A19,70,5754,3522
A19,70,5818,5236
A19,70,5903,4510
A19,70,5919,8500
A19,70,5983,8839
A19,70,6225,7054
A19,70,6326,7188
A19,70,6326,6919
A19,70,6546,6685
A19,70,6568,0735
A19,70,6568,6967
A19,70,6577,1705
A19,70,6632,6841
A19,70,6632,4777
A19,70,6704,2794
A19,70,6745,0000
A19,70,6765,1910
A19,70,6983,4064
A19,70,6983,2018
A19,70,7093,9929
A19,70,7093,4031
A19,70,7453,8661
A19,70,7558,1914
A19,70,7558,1514
A19,70,7577,7167
A19,70,7628,1360
A19,70,7715,2469
A19,70,7715,0888
A19,70,7737,1788
A19,70,7869,0072
A19,70,7869,0580
A19,70,7906,4055
A19,70,7907,8652
A19,70,7978,2975
A19,70,8050,9403
A19,70,8096,7492
A19,70,8096,7330
A19,70,8193,6079
