Acctype,Accountnumber,Vin
I,A06604972,1150
I,A16499836,7688
I,A18907106,0152
I,A18907106,3568
I,A18907106,7979
I,A18913268,7757
I,A19200014,7761
I,A19200021,3814
I,A19200024,8360
I,A19200047,6840
I,A19200072,9752
I,A19200073,8867
I,A19200084,5068
I,A19200084,0846
I,A19200089,3488
I,A19200112,2184
I,A19200118,1319
I,A19200119,7208
I,A19200121,3259
I,A19200133,4189
I,A19200137,9867
I,A19200157,6269
I,A19200157,6990
I,A19200162,9589
I,A19200171,5781
I,A19200191,6503
I,A19200191,7087
I,A19200191,2352
I,A19200211,4055
I,A19200215,7585
I,A19200215,2369
I,A19200226,7767
I,A19200228,7498
I,A19200229,9680
I,A19200235,6316
I,A19200251,5032
I,A19200255,6015
I,A19200255,2329
I,A19200259,2059
I,A19200272,0705
I,A19200272,7027
I,A19200283,7543
I,A19200283,4039
I,A19200284,6573
I,A19200292,5228
I,A19200294,6654
I,A19200295,7182
I,A19200313,8120
I,A19200313,6048
I,A19200322,8388
I,A19200334,7086
I,A19200350,0976
I,A19200350,0452
I,A19200351,5778
I,A19200365,5656
I,A19200369,1898
I,A19200385,1674
I,A19200403,4591
I,A19200403,8191
I,A19200412,8207
I,A19200437,3481
I,A19200465,6456
I,A19200478,5554
I,A19200481,1077
I,A19200494,2288
I,A19200498,0609
I,A19200498,8343
I,A19200500,4595
I,A19200508,3648
I,A19200510,0076
I,A19200519,1208
I,A19200521,7468
I,A19200521,7940
I,A19200531,8145
I,A19200531,2917
I,A19200536,6258
I,A19200551,1155
I,A19200554,018A
I,A19200556,6838
I,A19200569,4488
I,A19200584,4119
I,A19700011,4727
I,A19700087,9023
I,A19700211,8142
I,A19700211,8048
I,A19700219,7767
I,A19700241,6465
I,A19700295,0995
I,A19700356,5453
I,A19700513,3731
I,A19700697,4201
I,A19700697,7819
I,A19700702,6513
I,A19700773,2960
I,A19700773,9335
I,A19700857,9150
I,A19700857,9150
I,A19700908,3187
I,A19700935,8033
I,A19700938,1446
I,A19700995,2306
I,A19701143,2491
I,A19701203,3021
I,A19701454,2483
I,A19701595,9027
I,A19701625,6907
I,A19701774,6634
I,A19702006,5823
I,A19702037,8369
I,A19702037,8196
I,A19702054,8134
I,A19702295,5797
I,A19702348,0740
I,A19702438,3632
I,A19702438,2725
I,A19702626,0787
I,A19702728,7834
I,A19702763,4078
I,A19702855,8436
I,A19702855,2757
I,A19703042,3519
I,A19703042,6520
I,A19703056,3832
I,A19703056,3035
I,A19703295,7615
I,A19703449,1040
I,A19703493,8923
I,A19703520,9395
I,A19703539,4371
I,A19703781,0676
I,A19703961,8856
I,A19703969,7643
I,A19704120,6257
I,A19704387,5773
I,A19704456,8298
I,A19704658,4417
I,A19704840,6953
I,A19705068,5269
I,A19705128,1167
I,A19705128,8487
I,A19705128,1973
I,A19705148,6873
I,A19705243,2274
I,A19705243,0184
I,A19705409,2268
I,A19705458,2593
I,A19705484,8166
I,A19705717,1679
I,A19705744,2412
I,A19705744,6498
I,A19705754,3522
I,A19705818,5236
I,A19705903,4510
I,A19705919,8500
I,A19705983,8839
I,A19706225,7054
I,A19706326,7188
I,A19706326,6919
I,A19706546,6685
I,A19706568,0735
I,A19706568,6967
I,A19706577,1705
I,A19706632,6841
I,A19706632,4777
I,A19706704,2794
I,A19706745,0000
I,A19706765,1910
I,A19706983,4064
I,A19706983,2018
I,A19707093,9929
I,A19707093,4031
I,A19707453,8661
I,A19707558,1914
I,A19707558,1514
I,A19707577,7167
I,A19707628,1360
I,A19707715,2469
I,A19707715,0888
I,A19707737,1788
I,A19707869,0072
I,A19707869,0580
I,A19707906,4055
I,A19707907,8652
I,A19707978,2975
I,A19708050,9403
I,A19708096,7492
I,A19708096,7330
I,A19708193,6079
I,A19708193,0483
I,A19708351,2455
I,A19708395,5534
I,A19708445,2796
I,A19708456,1083
I,A19708648,2589
I,A19708696,3385
I,A19708696,8796
I,A19708700,5740
I,A19708798,9417
I,A19708798,5156
I,A19709019,4758
I,A19709101,4337
I,A19709101,5683
I,A19709271,0032
I,A19709271,1913
I,A19709344,8269
I,A19709724,8482
I,A19709724,4946
I,A19709761,4999
I,A19710189,2786
I,A19710189,2879
I,A19710243,6704
I,A19710271,3036
I,A19710377,0749
I,A19710377,2803
I,A19710384,1220
I,A19710552,4300
I,A19710554,9424
I,A19710864,2954
I,A19710864,5523
I,A19710864,2796
I,A19711007,8288
I,A19711013,2671
I,A19711023,5463
I,A19711295,3247
I,A19711301,85AB
I,A19711301,5286
I,A19711301,4901
I,A19711921,9710
I,A19712151,5592
I,A19712329,4232
I,A19712330,4608
I,A19712330,4232
I,A19712454,2305
I,A19712484,4150
I,A19712552,4521
I,A19712599,8042
I,A19712607,4956
I,A19712630,3223
I,A19712630,5165
I,A19712957,3226
I,A19712957,8078
I,A19713106,5860
I,A19713106,9533
I,A19713207,6505
I,A19713537,2928
I,A19713796,2329
I,A19713873,5797
I,A19714007,4583
I,A19714127,2875
I,A19714127,7875
I,A19714390,8535
I,A19714594,6546
I,A19714762,1480
I,A19714974,2242
I,A19714974,0315
I,A19715268,6539
I,A19715268,1085
I,A19715283,9188
I,A19715283,7853
I,A19715296,2899
I,A19715361,4253
I,A19715361,5133
I,A19715411,9173
I,A19715445,2459
I,A19715605,0495
I,A19715747,4271
I,A19715844,5627
I,A19715844,5764
I,A19715957,7798
I,A19716057,9656
I,A19717122,8401
I,A19717199,0199
I,A19717199,4463
I,A19717242,2704
I,A19718057,7739
I,A19718630,7383
I,A19718798,5404
I,A19719070,5920
I,A19719418,3549
I,A19720036,5229
I,A19720107,1490
I,A19720399,6973
I,A19720961,6036
I,A19721073,7124
I,A19721073,1802
I,A19721252,8505
I,A19721340,3691
I,A19721728,9000
I,A19721969,5212
I,A19722223,8664
I,A19722301,9648
I,A19722335,7808
I,A19722374,4309
I,A19722544,2601
I,A19722544,5543
I,A19722939,1893
I,A19723172,2645
I,A19723231,8690
I,A19723484,0309
I,A19723562,0009
I,A19723562,0009
I,A19723655,0677
I,A19723675,9890
I,A19723676,0848
I,A19723797,5041
I,A19723853,0989
I,A19723853,2020
I,A19723853,4810
I,A19723962,6475
I,A19724167,9497
I,A19724184,0736
I,A19724184,1909
I,A19724195,2876
I,A19724277,5793
I,A19724277,7092
I,A19724401,0412
I,A19724810,2386
I,A19724917,5254
I,A19724950,0947
I,A19724950,4934
I,A19725083,0815
I,A19725083,8851
I,A19725096,1420
I,A19725127,4002
I,A19725192,5658
I,A19725196,8214
I,A19725199,1597
I,A19725199,1849
I,A19725332,9485
I,A19725332,9977
I,A19725467,5020
I,A19725518,1596
I,A19725644,2905
I,A19726015,9927
I,A19726121,0887
I,A19726296,6007
I,A19726296,0603
I,A19726421,2295
